MNTH,BRAND_NAME,RESTAURANT_ID,BRAND,CITY_CLASSIFICATION,ORDERS,FULFILLED_GMV,FREEBIE_BURN,S_BURN,R_BURN,REST_EO_BURN,REST_TD,TOTAL_DISCOUNT,Final R Burn,,,,
2025-07,Wow_Momo,51617,Wow_Momo,India_1,859,488387.9286,0,4288.53,7593.23,,218644,239803,226237.23,,,,
2025-07,Wow_Momo,484601,Wow_Momo,India_1,355,173938.509,0,1302.5,2347.46,,71369.4,78194,73716.86,,,,
2025-07,Wow_Momo,865550,Wow_Momo,India_2,745,390871.4174,0,2380.14,4352.34,,166154.4,183022,170506.74,,,,
2025-07,Wow_Momo,128817,Wow_Momo,India_1,1340,696287.588,0,5361.16,9331.67,,270451.5,299856,279783.17,,,,
2025-07,Wow_Momo,568700,Wow_Momo,India_1,201,88927.44849,0,543,879.82,,38586.8,43696,39466.62,,,,
2025-07,Wow_Momo,864534,Wow_Momo,India_1,850,477464.4834,0,3870.37,6810.5,,191664.8,208006,198475.3,,,,
2025-07,Wow_Momo,27854,Wow_Momo,India_1,573,270891.7536,0,5312.6,9569.02,,98531.2,116531,108100.22,,,,
2025-07,Wow_Momo,244007,Wow_Momo,India_1,1137,589658.7227,0,8181.46,14856.99,,245493.2,276646,260350.19,,,,
2025-07,Wow_Momo,458857,Wow_Momo,India_1,898,495578.2289,0,5206.3,9330.69,,233922.2,256681,243252.89,,,,
2025-07,Wow_Momo,874675,Wow_Momo,India_1,905,399693.5822,0,2783.1,5104.82,,158385,170241,163489.82,,,,
2025-07,Wow_Momo,223838,Wow_Momo,India_1,404,219233.822,0,1369.17,2569.22,,96717.6,104768,99286.82,,,,
2025-07,Wow_Momo,360967,Wow_Momo,India_1,1032,528489.0354,0,5840.07,10303.5,,218331.3,239884,228634.8,,,,
2025-07,Wow_Momo,73859,Wow_Momo,India_1,516,256686.6716,0,966.97,1824.37,,105110.9,114265,106935.27,,,,
2025-07,Wow_Momo,656474,Wow_Momo,India_1,995,523660.8779,0,3207.32,5593.45,,222049.5,237208,227642.95,,,,
2025-07,Wow_Momo,604580,Wow_Momo,India_1,452,233543.9788,0,1500.58,2533.16,,107890.3,115473,110423.46,,,,
2025-07,Wow_Momo,966447,Wow_Momo,India_1,675,359454.745,0,3302.96,5798.21,,158172.1,171070,163970.31,,,,
2025-07,Wow_Momo,772164,Wow_Momo,India_1,97,45444.89969,0,311.97,579.34,,18735.7,20520,19315.04,,,,
2025-07,Wow_Momo,699424,Wow_Momo,India_1,710,375048.7612,0,2652.71,4779.09,,152209.1,163849,156988.19,,,,
2025-07,Wow_Momo,624736,Wow_Momo,India_1,401,226606.0313,0,2960.63,5073.18,,92722.2,104746,97795.38,,,,
2025-07,Wow_Momo,407381,Wow_Momo,India_1,742,399719.9071,0,4259.84,7205.22,,157238.7,174592,164443.92,,,,
2025-07,Wow_Momo,363823,Wow_Momo,India_1,930,452619.9023,0,4163.79,7396.92,,197892.7,214326,205289.62,,,,
2025-07,Wow_Momo,262054,Wow_Momo,India_1,262,129321.2,0,1667.77,3192.91,,49572.8,56252,52765.71,,,,
2025-07,Wow_Momo,1125569,Wow_Momo,India_1,228,104273.0047,0,5161.2,9213.17,,12925,32724,22138.17,,,,
2025-07,Wow_Momo,967723,Wow_Momo,India_2,272,118516.8172,0,1358.99,2523.77,,47389.1,55557,49912.87,,,,
2025-07,Wow_Momo,971026,Wow_Momo,India_1,576,262181.8257,0,2438.64,4630.29,,102338.1,112513,106968.39,,,,
2025-07,Wow_Momo,1123783,Wow_Momo,India_2,202,122663.945,0,511,908.96,,32407,36384,33315.96,,,,
2025-07,Wow_Momo,642660,Wow_Momo,India_1,47,23071.18321,0,87.5,162.49,,9424.5,10321,9586.99,,,,
2025-07,Wow_Momo,341676,Wow_Momo,India_1,274,125042.3446,0,815.55,1471.71,,50250.5,57540,51722.21,,,,
2025-07,Wow_Momo,557347,Wow_Momo,India_1,194,84905.25629,0,470.7,845.6,,37078.1,43500,37923.7,,,,
2025-07,Wow_Momo,622002,Wow_Momo,India_1,218,114725.1818,0,1018.38,1649.84,,46762.7,51621,48412.54,,,,
2025-07,Wow_Momo,966227,Wow_Momo,India_2,66,31482.08479,0,218.75,406.24,,13575,14935,13981.24,,,,
2025-07,Wow_Momo,943968,Wow_Momo,India_2,381,176874.0398,0,936.29,1824.22,,71902.6,80172,73726.82,,,,
2025-07,Wow_Momo,742700,Wow_Momo,India_1,1098,545277.4897,0,6777.99,12191.06,,233297.1,256909,245488.16,,,,
2025-07,Wow_Momo,312124,Wow_Momo,India_1,1551,790391.9107,0,6895.92,12227.24,,342702,367129,354929.24,,,,
